title,genre,keywords
Avatar,Sci-Fi,space adventure alien
Avengers: Endgame,Action,superhero adventure marvel
Interstellar,Sci-Fi,space science time
Inception,Sci-Fi,dream mind thriller
Titanic,Romance,love tragedy ship
The Notebook,Romance,love relationship emotional
Jurassic Park,Adventure,dinosaurs science adventure
Harry Potter,Fantasy,magic wizard adventure
The Dark Knight,Action,superhero crime thriller
Toy Story,Animation,friends adventure toys
Finding Nemo,Animation,ocean family adventure
Frozen,Animation,ice princess friendship
Jumanji,Adventure,games jungle comedy
Spider-Man,Action,superhero school adventure
The Matrix,Sci-Fi,technology virtual reality action
